state,district,typology
Andaman & Nicobar Islands,Andamans,Digitally Strong & Balanced
Andaman & Nicobar Islands,Nicobar,Digitally Strong & Balanced
Andaman & Nicobar Islands,Nicobars,Digitally Weak but Stable
Andaman & Nicobar Islands,North And Middle Andaman,Digitally Strong & Balanced
Andaman & Nicobar Islands,South Andaman,Digitally Strong & Balanced
Andhra Pradesh,Adilabad,Digitally Strong & Balanced
Andhra Pradesh,Alluri Sitharama Raju,Digitally Strong & Balanced
Andhra Pradesh,Anakapalli,Digitally Strong & Balanced
Andhra Pradesh,Anantapur,Digitally Strong & Balanced
Andhra Pradesh,Ananthapur,Digitally Strong & Balanced
Andhra Pradesh,Ananthapuramu,Digitally Strong & Balanced
Andhra Pradesh,Annamayya,Digitally Strong & Balanced
Andhra Pradesh,Bapatla,Digitally Strong & Balanced
Andhra Pradesh,Chittoor,Digitally Strong & Balanced
Andhra Pradesh,Cuddapah,Digitally Strong & Balanced
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Digitally Strong & Balanced
Andhra Pradesh,East Godavari,Digitally Strong but Overburdened
Andhra Pradesh,Eluru,Digitally Strong & Balanced
Andhra Pradesh,Guntur,Digitally Strong but Overburdened
Andhra Pradesh,Hyderabad,Digitally Strong & Balanced
Andhra Pradesh,K.V.Rangareddy,Digitally Strong & Balanced
Andhra Pradesh,K.v. Rangareddy,Digitally Strong & Balanced
Andhra Pradesh,Kakinada,Digitally Strong & Balanced
Andhra Pradesh,Karim Nagar,Digitally Strong & Balanced
Andhra Pradesh,Karimnagar,Digitally Strong & Balanced
Andhra Pradesh,Khammam,Digitally Strong & Balanced
Andhra Pradesh,Krishna,Digitally Strong & Balanced
Andhra Pradesh,Kurnool,Digitally Strong but Overburdened
Andhra Pradesh,Mahabub Nagar,Digitally Strong but Overburdened
Andhra Pradesh,Mahabubnagar,Digitally Weak but Stable
Andhra Pradesh,Mahbubnagar,Digitally Strong & Balanced
Andhra Pradesh,Medak,Digitally Strong & Balanced
Andhra Pradesh,N. T. R,Digitally Strong & Balanced
Andhra Pradesh,Nalgonda,Digitally Strong & Balanced
Andhra Pradesh,Nandyal,Digitally Strong & Balanced
Andhra Pradesh,Nellore,Digitally Strong & Balanced
Andhra Pradesh,Nizamabad,Digitally Strong & Balanced
Andhra Pradesh,Palnadu,Digitally Strong & Balanced
Andhra Pradesh,Parvathipuram Manyam,Digitally Strong & Balanced
Andhra Pradesh,Prakasam,Digitally Strong & Balanced
Andhra Pradesh,Rangareddi,Digitally Strong & Balanced
Andhra Pradesh,Sri Potti Sriramulu Nellore,Digitally Strong & Balanced
Andhra Pradesh,Sri Sathya Sai,Digitally Strong & Balanced
Andhra Pradesh,Srikakulam,Digitally Strong & Balanced
Andhra Pradesh,Tirupati,Digitally Strong & Balanced
Andhra Pradesh,Visakhapatnam,Digitally Strong but Overburdened
Andhra Pradesh,Vizianagaram,Digitally Strong & Balanced
Andhra Pradesh,Warangal,Digitally Strong & Balanced
Andhra Pradesh,West Godavari,Digitally Strong & Balanced
Andhra Pradesh,Y. S. R,Digitally Strong & Balanced
Andhra Pradesh,chittoor,Digitally Weak but Stable
Andhra Pradesh,rangareddi,Digitally Weak but Stable
Arunachal Pradesh,Anjaw,Digitally Strong & Balanced
Arunachal Pradesh,Changlang,Digitally Strong & Balanced
Arunachal Pradesh,Dibang Valley,Digitally Strong but Overburdened
Arunachal Pradesh,East Kameng,Digitally Strong & Balanced
Arunachal Pradesh,East Siang,Digitally Strong & Balanced
Arunachal Pradesh,Kamle,Digitally Strong but Overburdened
Arunachal Pradesh,Kra Daadi,Digitally Strong & Balanced
Arunachal Pradesh,Kurung Kumey,Digitally Strong & Balanced
Arunachal Pradesh,Leparada,Digitally Weak but Stable
Arunachal Pradesh,Lohit,Digitally Strong & Balanced
Arunachal Pradesh,Longding,Digitally Strong & Balanced
Arunachal Pradesh,Lower Dibang Valley,Digitally Strong & Balanced
Arunachal Pradesh,Lower Siang,Digitally Strong but Overburdened
Arunachal Pradesh,Lower Subansiri,Digitally Strong & Balanced
Arunachal Pradesh,Namsai,Digitally Strong & Balanced
Arunachal Pradesh,Pakke Kessang,Digitally Strong & Balanced
Arunachal Pradesh,Papum Pare,Digitally Strong & Balanced
Arunachal Pradesh,Shi-yomi,Digitally Strong but Overburdened
Arunachal Pradesh,Siang,Digitally Strong & Balanced
Arunachal Pradesh,Tawang,Digitally Strong & Balanced
Arunachal Pradesh,Tirap,Digitally Strong & Balanced
Arunachal Pradesh,Upper Siang,Digitally Strong & Balanced
